key,born,start,end,row_y,notes,old
Julius,BCE0100-07-13,BCE0064-01-01,BCE0044-03-17,37.55,,37.05
Augustus,BCE0063-09-23,BCE0027-01-16,0015-08-19,38.55,"born Galus Octavius, also Octavian",38.05
Tiberius,BCE0042-11-15,0015-09-17,0038-03-18,39.55,,39.05
Caligula,0013-08-31,0038-03-18,0042-01-24,40.55,,40.05
Claudius,0011-08-10,0042-01-24,0055-10-13,41.55,,41.05
Nero,0038-12-15,0055-10-13,0069-06-10,42.55,,42.05
Galba-Otho-Vitellius,0069-06-09,0069-06-09,0070-12-20,43.55,4 Caesars in one year,43.05
Vespasian,0010-11-17,0070-07-02,0080-06-23,44.55,,44.05
Alexander,BCE0356-07-22,BCE0336-01-01,BCE0323-06-12,30.0,,31.0
